"","lat","lng","Place ID"
"104","18.5314562","-69.8635089","ChIJ-wBm76aIr44Rc2BoB0YEI7I"
"105","18.4761376","-69.9031318","ChIJpx1clDOIr44R0RleG_8poHM"
"106","18.5132215","-69.8977571","ChIJ04FFV_qIr44R5jNbBt8zCLQ"
"107","18.4706909","-69.9016939","ChIJiTRc-y2Ir44RHjqlMmnXAYU"
"108","18.5064792","-69.9030279","ChIJL9RLaP-Ir44RDc67KmXbM5E"
"109","18.5064254","-69.8189767","ChIJe1Nkt1CGr44RVFE-AYWmc0Y"
"110","18.4883165","-69.9074819","ChIJp72NsrSJr44Rc6NcJmPx4OI"
"111","18.5229201","-69.8908996","ChIJ_x8Xa-mIr44RB_qhJxUfhgw"
"112","18.4938528","-69.8142718","ChIJ2aOc76qHr44RSHHc2jrfok4"
"113","18.4800022","-69.9024710","ChIJRQi2zDWIr44R9JIJLln5TnY"
"114","18.4881874","-69.8608901","ChIJH2X6wXeIr44Rz9CaljDpWIA"
"115","18.4883090","-69.8595946","ChIJs8PjqNCHr44RbgWb49HuDNk"
"116","18.4893077","-69.8590427","ChIJPdv1AtiHr44RIPY9a3F4TrM"
"117","18.4913500","-69.8620823","ChIJl5FeSHiIr44Ry9bFoAptZ9w"
"118","18.4906105","-69.8589911","ChIJ-eid6NeHr44RngN278jygV0"
"119","18.4906358","-69.8634633","ChIJxao4CdeHr44RYNoZAi0ss0g"
"120","18.4915020","-69.8598885","ChIJQ9itd3iIr44RWPkCpK3mSKQ"
"121","18.4909545","-69.8632836","ChIJnUEqz3mIr44RXOP1rkGmoag"
"122","18.4871386","-69.8598337","ChIJVVUV1neIr44RbCRVanEeJz0"
"123","18.4922944","-69.8615777","ChIJJYbJXniIr44RGKaFbmLeNoc"
"124","18.4916637","-69.8591798","ChIJORpg0NeHr44RnFFq5oUVchY"
"125","18.4914601","-69.8589031","ChIJdeGMxdeHr44Rd1nzJFI7Miw"
"126","18.4924745","-69.8624543","ChIJK-7XVXiIr44RhnQ140QIChI"
"127","18.4927245","-69.8593947","ChIJZZdOKdaHr44Rr_DLFhOx7Cg"
"128","18.4927245","-69.8593947","ChIJZZdOKdaHr44RUeqA4XnJyFw"
"129","18.4864479","-69.8640192","ChIJ4wSA6HaIr44R-FEb8Q5ow_8"
"130","18.4925246","-69.8587980","ChIJl6fLM9aHr44R5-MktgenXCA"
"131","18.4923628","-69.8640330","ChIJv8n6o3mIr44RdHiEIdnf2Fg"
"132","18.4876571","-69.8573214","ChIJTf7_SNiHr44RoynKcdZzaN8"
"133","18.4851989","-69.8600361","ChIJ6-s-H3aIr44R9O0hFNisZog"
"134","18.4915475","-69.8653550","ChIJecGs9HmIr44RIGwCZ8DjPHQ"
"135","18.4917173","-69.8653275","ChIJ1c9_i3mIr44REcyNMhcXKm8"
"136","18.4921394","-69.8573405","ChIJK3bZUtaHr44R_n3Tkgz7Mao"
"137","18.4931540","-69.8584290","ChIJqyjiONaHr44R5GGt5rpMOHI"
"138","18.4902384","-69.8560403","ChIJw_4LcteHr44RPRj7MoNOceY"
"139","18.4892420","-69.8665460","ChIJIcMYEpSHr44RG9calrXMlkQ"
"140","18.4852310","-69.8576349","ChIJ668y5tiHr44R8nAbdGYvRk8"
"141","18.4839607","-69.8613548","ChIJ_-eW33WIr44RAiz_itCQYwo"
"142","18.4950305","-69.8608519","ChIJoWz1s3iIr44RxwgzcLzEozc"
"143","18.4877509","-69.8677639","ChIJp-8B43CIr44RLx-82ntZEOs"
"144","18.4867767","-69.8677120","ChIJR-WMEHGIr44RV6VgRKtPRGY"
"145","18.4826031","-69.8612297","ChIJ____v3WIr44R6zvI2zv7diQ"
"146","18.4866930","-69.8678082","ChIJIchMEHGIr44RzKzwfAF1MzI"
"147","18.4959567","-69.8596573","ChIJl_3q99WHr44RGGmve7u1pcg"
"148","18.4889270","-69.8540006","ChIJY8mEVdeHr44Rjz1AAjhQTo4"
"149","18.4862206","-69.8542363","ChIJNQQ3gtmHr44RqGAErD26CVI"
"150","18.4905547","-69.8533530","ChIJi6HbztCHr44R_4oOdbDhc9g"
"151","18.4929024","-69.8683523","ChIJMU6lVnqIr44R0zGXDp5iVuA"
"152","18.4953421","-69.8560564","ChIJLxKFL9SHr44RDWWHUVfeeFY"
"153","18.4915991","-69.8691387","ChIJ_92hjnqIr44Ro5Lii1QI2L4"
"154","18.4880835","-69.8527523","ChIJi4gXDtqHr44RULGx6FIacdY"
"155","18.4809773","-69.8601353","ChIJF3FQDN-Hr44Roxfn8QW90DY"
"156","18.4849696","-69.8536394","ChIJQRbS2NuHr44RQKP4_v4M3Zo"
"157","18.4948158","-69.8544451","ChIJJdIiA9SHr44RVyrSjYhftEw"
"158","18.4892510","-69.8701639","ChIJAQAAQHCIr44RNlzlVZaUJOI"
"159","18.4922197","-69.8696398","ChIJK99W7HqIr44R_NZrPEBQc4M"
"160","18.4863767","-69.8696931","ChIJmd2KvXGIr44RzQLQd_c9FTU"
"161","18.4812887","-69.8650532","ChIJW-JyhnSIr44RNbwQuhf7H1Y"
"162","18.4933348","-69.8527908","ChIJ3aogyteHr44RD6TyvGdfd4g"
"163","18.4924012","-69.8519362","ChIJ_3kK0c2Hr44RjHDuaKz7gCM"
"164","18.4857074","-69.8703268","ChIJB2j08nGIr44RGFAl3KdynUY"
"165","18.4985628","-69.8634352","ChIJFcuFV36Ir44RYjEcUMwcwTQ"
"166","18.4982561","-69.8647491","ChIJISImiX6Ir44RMOh_dpIpXGU"
"167","18.4821514","-69.8540915","ChIJxRZMod6Hr44Rf28KLkuWovc"
"168","18.4835813","-69.8697216","ChIJy1ejOHKIr44REzyfTIXk8-w"
"169","18.4812435","-69.8676654","ChIJyfk8DnOIr44RDCTpojEesUg"
"170","18.4994504","-69.8636913","ChIJw5MwRH6Ir44RS-_DLGGCXOY"
"171","18.4877374","-69.8721142","ChIJuRAYLG6Ir44RytAbXyet0aQ"
"172","18.4997566","-69.8620518","ChIJo3gqyX-Ir44ReP31S27KyEE"
"173","18.4986983","-69.8558245","ChIJpQ4n6dSHr44RBZj1cNbhwzU"
"174","18.4861378","-69.8724974","ChIJA3ks_2-Ir44Rkgmgrn3Xfl8"
"175","18.4881808","-69.8495229","ChIJp2P8ntqHr44RU82sJSAVQ0Y"
"176","18.4869299","-69.8496014","ChIJqZlH69qHr44RLCbOW-RCrlI"
"177","18.4913148","-69.8730200","ChIJ_bV2XmWIr44RsmTADeAQrJ4"
"178","18.4948962","-69.8716799","ChIJh5Apy2SIr44RhhM-FiWm9g0"
"179","18.4912574","-69.8731405","ChIJy_XUX2WIr44RsSBmWIesgEI"
"180","18.4950143","-69.8717678","ChIJ1X2UymSIr44RIODM29GMgig"
"181","18.4951424","-69.8717701","ChIJeTRvtWSIr44RrKlpRGvwZXw"
"182","18.4978155","-69.8525856","ChIJ3dg4ctOHr44RK_xgk99fS-U"
"183","18.5010681","-69.8638093","ChIJc-oyIX6Ir44REEIKnEXwB6s"
"184","18.5016077","-69.8603864","ChIJJZY1BYCIr44R1r7gZfF6Gmw"
"185","18.5007470","-69.8556859","ChIJ12f9MyuGr44Rqrg4bKn-A0k"
"186","18.4910178","-69.8479055","ChIJo5C2KtCHr44RQ00t3OBD9Vg"
"187","18.4952887","-69.8492416","ChIJgcBzFdKHr44RKay_VFcpEtk"
"188","18.4936671","-69.8740312","ChIJ-fdCA2WIr44ReEhYG7b2qOc"
"189","18.4936969","-69.8740772","ChIJzXWnA2WIr44RO8RIhPeqi-M"
"190","18.4951643","-69.8735015","ChIJ67Nj62SIr44RprwQbRFksXE"
"191","18.4893030","-69.8750498","ChIJ-f_PDm-Ir44RbIebwpBTcKY"
"192","18.4804939","-69.8714664","ChIJvXfYpnKIr44RHGsER_VMMeg"
"193","18.4833638","-69.8738515","ChIJAwCjum2Ir44RpYWUugvg7zE"
"194","18.4874130","-69.8470836","ChIJ____T8WHr44RFw_9WYNOBFM"
"195","18.5032889","-69.8633675","ChIJe9dq8ICIr44RyxwoNVzYfOk"
"196","18.4993119","-69.8719869","ChIJ8YV1KWOIr44RrMiwojJR6YY"
"197","18.5024910","-69.8677300","ChIJE_B2b4eIr44RVPluV2Cogv4"
"198","18.4768263","-69.8531448","ChIJN-mFvAyHr44RcUN8ZExVJ90"
"199","18.4748641","-69.8581834","ChIJgewLtuGHr44R6YIg2BXebuM"
"200","18.4745409","-69.8595312","ChIJdQC22eGHr44RW7cUC8_6sXY"
